"StichtagDatJahr","QuarSort","QuarCd","QuarLang","AlterVSort","AlterVKurz","AlterV05Sort","AlterV05Kurz","AnzBestWir"
2015,14,014,"City",93,93,19,"90-94",1
2015,33,033,"Friesenberg",98,98,20,"95-99",2
2015,61,061,"Unterstrass",71,71,15,"70-74",156
2015,81,081,"Seefeld",92,92,19,"90-94",6
2015,14,014,"City",74,74,15,"70-74",3
2015,23,023,"Leimbach",85,85,18,"85-89",26
2015,41,041,"Werd",92,92,19,"90-94",6
2015,111,111,"Affoltern",9,9,2,"5-9",241
2015,74,074,"Witikon",97,97,20,"95-99",4
2015,101,101,"Höngg",99,99,20,"95-99",2
2015,34,034,"Sihlfeld",90,90,19,"90-94",46
2015,11,011,"Rathaus",93,93,19,"90-94",2
2015,23,023,"Leimbach",94,94,19,"90-94",8
2015,44,044,"Hard",85,85,18,"85-89",34
2015,119,119,"Seebach",99,99,20,"95-99",2
2015,61,061,"Unterstrass",93,93,19,"90-94",26
2015,24,024,"Enge",84,84,17,"80-84",38
2015,121,121,"Saatlen",91,91,19,"90-94",15
2015,31,031,"Alt-Wiedikon",98,98,20,"95-99",4
2015,74,074,"Witikon",94,94,19,"90-94",18
2015,11,011,"Rathaus",71,71,15,"70-74",37
2015,72,072,"Hottingen",8,8,2,"5-9",92
2015,23,023,"Leimbach",9,9,2,"5-9",73
2015,101,101,"Höngg",98,98,20,"95-99",6
2015,123,123,"Hirzenbach",82,82,17,"80-84",67
2015,115,115,"Oerlikon",98,98,20,"95-99",2
2015,13,013,"Lindenhof",95,95,20,"95-99",0
2015,44,044,"Hard",88,88,18,"85-89",31
2015,92,092,"Altstetten",95,95,20,"95-99",11
2015,73,073,"Hirslanden",89,89,18,"85-89",33
2015,42,042,"Langstrasse",99,99,20,"95-99",1
2015,41,041,"Werd",93,93,19,"90-94",8
2015,41,041,"Werd",85,85,18,"85-89",14
2015,12,012,"Hochschulen",94,94,19,"90-94",4
2015,41,041,"Werd",95,95,20,"95-99",5
2015,14,014,"City",89,89,18,"85-89",0
2015,23,023,"Leimbach",88,88,18,"85-89",30
2015,91,091,"Albisrieden",7,7,2,"5-9",162
2015,51,051,"Gewerbeschule",97,97,20,"95-99",2
2015,31,031,"Alt-Wiedikon",87,87,18,"85-89",50
2015,82,082,"Mühlebach",98,98,20,"95-99",1
2015,82,082,"Mühlebach",99,99,20,"95-99",1
2015,51,051,"Gewerbeschule",86,86,18,"85-89",22
2015,119,119,"Seebach",9,9,2,"5-9",219
2015,73,073,"Hirslanden",95,95,20,"95-99",17
2015,74,074,"Witikon",95,95,20,"95-99",22
2015,44,044,"Hard",91,91,19,"90-94",18
2015,12,012,"Hochschulen",96,96,20,"95-99",4
2015,61,061,"Unterstrass",85,85,18,"85-89",72
2015,91,091,"Albisrieden",71,71,15,"70-74",157
2015,21,021,"Wollishofen",97,97,20,"95-99",10
2015,33,033,"Friesenberg",90,90,19,"90-94",34
2015,12,012,"Hochschulen",81,81,17,"80-84",5
2015,82,082,"Mühlebach",94,94,19,"90-94",9
2015,31,031,"Alt-Wiedikon",93,93,19,"90-94",14
2015,111,111,"Affoltern",79,79,16,"75-79",145
2015,33,033,"Friesenberg",96,96,20,"95-99",4
2015,63,063,"Oberstrass",87,87,18,"85-89",40
2015,111,111,"Affoltern",93,93,19,"90-94",16
2015,11,011,"Rathaus",90,90,19,"90-94",2
2015,42,042,"Langstrasse",91,91,19,"90-94",3
2015,101,101,"Höngg",90,90,19,"90-94",59
2015,121,121,"Saatlen",7,7,2,"5-9",115
2015,123,123,"Hirzenbach",90,90,19,"90-94",36
2015,11,011,"Rathaus",82,82,17,"80-84",12
2015,42,042,"Langstrasse",80,80,17,"80-84",17
2015,61,061,"Unterstrass",9,9,2,"5-9",156
2015,61,061,"Unterstrass",83,83,17,"80-84",86
2015,102,102,"Wipkingen",90,90,19,"90-94",35
2015,42,042,"Langstrasse",97,97,20,"95-99",1
2015,14,014,"City",92,92,19,"90-94",2
2015,82,082,"Mühlebach",89,89,18,"85-89",14
2015,41,041,"Werd",78,78,16,"75-79",11
2015,13,013,"Lindenhof",84,84,17,"80-84",5
2015,41,041,"Werd",94,94,19,"90-94",5
2015,14,014,"City",97,97,20,"95-99",0
